filename,date,PERSON,GPE,ORGANIZATION,MONEY,TIME
1101163941115,2004-01-01,['Albert Smith'],"['Alderwood', 'America']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941063,2003-01-03,"['Albert Smith', 'Ralph Waldo Emerson']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941011,2002-01-04,['Albert Smith'],"['Alderwood', 'Cicero']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941168,2005-01-07,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941116,2004-01-08,"['Albert Smith', 'Hope']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941064,2003-01-10,"['Adrienne E. Gusoff', 'Albert Smith']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941012,2002-01-11,"['Albert Smith', 'Jules Renard']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941169,2005-01-14,"['Abraham Lincoln', 'Albert Smith']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941117,2004-01-15,"['Albert Smith', 'W. C. Fields']","['Africa', 'Alderwood']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941065,2003-01-17,"['Albert Smith', 'Andrew Carnegie', 'Hope']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941013,2002-01-18,"['Albert Smith', 'Gwendolyn Brooks']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941118,2004-01-22,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941066,2003-01-24,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941014,2002-01-25,"['Albert Smith', 'H. L. Mencken']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941119,2004-01-29,"['Albert Smith', 'Thomas Fuller']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941067,2003-01-31,"['Albert Smith', 'Joseph Conrad']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941015,2002-02-01,"['Albert Smith', 'Robert Frost']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101243338500,2002-02-02,"['Bruce Rinz', 'Jennie Angel', 'Laurie Sulfate', 'Mel Sacher', 'Philip Boynton', 'Pro- tem George Greenway', 'Rex Luthor']","['Alderwood', 'Washington']","['BSE', 'Biotech Lab', 'Boynton Laboratories', 'CJD', 'City', 'College of Environment and Life Sciences at USC', 'Creutzfeldt-Jacob Disease', 'Hawk Press Inc.', 'USC', 'Washen Foundation']","['$ 1,000,000', '$ 225,000', '$ 25,000', '$ 300,000']",[]
1101163941120,2004-02-05,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941068,2003-02-07,"['Albert Smith', 'J. R. R. Tolkien', 'Of']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941016,2002-02-08,"['Albert Smith', 'Andrew Schneider', 'Diane Frolov', 'Hope']","['Alderwood', 'First Snow', 'Northern Exposure']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941121,2004-02-12,"['Albert Smith', 'Hope']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941069,2003-02-14,"['Albert Smith', 'Mark Twain']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941017,2002-02-15,"['Albert Smith', 'Hope', 'Oliver Wendell Holmes']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
